Co_fermentations;Yeast_level;sp1;sp2st1;sp2st2;sp2st3;sp3;sp4;sp5;sp6;sp7;sp8;Yield_Average;Yield_SD;Yield_Rank;Yeast_Average;Yeast_SD;Bac_Average;Bac_SD;Yeast_RA_Av;Yeast_RA_SD; Bac_RA_Av;Bac_RA_SD;rank_yeastAV;rank_bacAV;rank_yeastRA;rank_bacRA
sp2st1-sp5-sp3-sp6;10;0;1;0;0;1;0;1;1;0;0;70.45230097;1.912086025;50;9969111.111;1571699.937;98.99303268;0.220727841;1.006967317;0.220727841;58;72;84;37;;
sp2st1-sp5-sp6;10;0;1;0;0;0;0;1;1;0;0;66.99123036;4.323084423;58;10981111.11;1672354.236;98.61805645;0.084129398;1.381943552;0.084129398;85;76;72;49;;
sp2st2-sp4;10;0;0;1;0;0;1;0;0;0;0;68.3893828;0.678744171;78;9114888.889;602244.28;95.07442303;0.883245285;4.925576972;0.883245285;38;38;40;81;;
sp2st2-sp3;10;0;0;1;0;1;0;0;0;0;0;70.63028663;1.218886621;62;10513333.33;1846869.303;98.80555972;0.262722836;1.19444028;0.262722836;69.5;81;76;45;;
sp2st2-sp6;10;0;0;1;0;0;0;0;1;0;0;68.8890293;3.948452251;73;9982000;1082068.39;98.68671212;0.340223097;1.31328788;0.340223097;59;54;74;47;;
sp2st2-sp1-sp3;10;1;0;1;0;1;0;0;0;0;0;69.93978804;0.464153604;77;10513333.33;2083086.883;99.10773512;0.107091088;0.892264876;0.107091088;69.5;86;91;30;;
sp2st2-sp1-sp6;10;1;0;1;0;0;0;0;1;0;0;70.47803384;2.855002029;66;9753777.778;939922.3504;98.90660454;0.246280518;1.09339546;0.246280518;49;43;80;41;;
sp2st2-sp1-sp4;10;1;0;1;0;0;1;0;0;0;0;69.17209084;3.124558618;82;9917333.333;1068424.524;96.37553731;1.038993345;3.624462694;1.038993345;55;53;50;71;;
sp2st2-sp1-sp4-sp5;10;1;0;1;0;0;1;1;0;0;0;71.67032334;0.60454745;80;9559555.556;1657578.272;96.22374279;0.524580173;3.776257209;0.524580173;44;75;47;74;;
sp2st2-sp1-sp4-sp5-sp3;10;1;0;1;0;1;1;1;0;0;0;71.0784674;1.271211153;45;11169333.33;1958720.747;97.26519108;1.400798901;2.734808921;1.400798901;92;85;60;61;;
sp2st2-sp1-sp3-sp6;10;1;0;1;0;1;0;0;1;0;0;66.21066673;2.763618864;64;9546222.222;2355095.615;98.51576032;0.364907189;1.484239675;0.364907189;42;89;68;53;;
sp1-sp4-sp6;10;1;0;0;0;0;1;0;1;0;0;69.1206251;0.896387183;59;10189777.78;2194124.162;97.11239809;0.409933312;2.887601914;0.409933312;61;88;57;64;;
sp2st2-sp1-sp4-sp5-sp3-sp6;10;1;0;1;0;1;1;1;1;0;0;68.42154888;2.766105325;40;8037333.333;2421639.665;98.28139682;0.451734334;1.718603183;0.451734334;28;91;66;55;;
sp2st2-sp1-sp5-sp3;10;1;0;1;0;1;0;1;0;0;0;64.51229751;3.350036494;53;9640222.222;410460.3859;98.52663686;0.564245052;1.473363145;0.564245052;47;29;69;52;;
sp2st2-sp1-sp5-sp3-sp6;10;1;0;1;0;1;0;1;1;0;0;67.1686529;1.678023598;55;9823111.111;1582600.423;98.81705603;0.43897215;1.182943965;0.43897215;51;73;78;43;;
sp2st2-sp1-sp3-sp6;10;1;0;1;0;1;0;0;1;0;0;67.60944718;0.554741107;23;8873111.111;1100715.637;99.00369147;0.30243376;0.99630853;0.30243376;35;56;86;35;;
sp2st2-sp4-sp5;10;0;0;1;0;0;1;1;0;0;0;41.38668515;4.239949111;65;7324000;433436.9107;93.39876977;1.262745282;6.60123023;1.262745282;24;31;34;87;;
sp2st2-sp4-sp5-sp3;10;0;0;1;0;1;1;1;0;0;0;69.17171808;1.991070782;99;10384666.67;598231.7153;96.6509405;0.493768351;3.349059501;0.493768351;65;37;53;68;;
