	Yeast_level	sp1	sp2st1	sp2st2	sp2st3	sp3	sp4	sp5	sp6	sp7	sp8	Yield_Average	Yield_SD	Yield_Rank	Yeast_Average	Yeast_SD	Bac_Average	Bac_SD	Yeast_RA_Av	Yeast_RA_SD	Bac_RA_Av	Bac_RA_SD	rank_yeastAV	rank_bacAV	rank_yeastRA	rank_bacRA
yeast+sp2st2+sp1+sp3/100	100	1	0	1	0	1	0	0	0	0	0	90.92	1.28	65	1.1732667e+007	2252460	46000	24043.17	99.63772	0.159887	0.362277	0.159887	85	18	97	28
yeast+sp2st2+sp1+sp6/100	100	1	0	1	0	0	0	0	1	0	0	91.84	2.88	78	1.1202e+007	1699509	81555.56	36774.92	99.30575	0.253313	0.694246	0.253313	68	28	88	43
yeast+sp2st2+sp1+sp4/100	100	1	0	1	0	0	1	0	0	0	0	91.14	0.93	66	1.1050889e+007	1558918	220000	72614.66	98.10511	0.426563	1.894893	0.426563	63	67	49	53
yeast+sp2st2+sp1+sp4+sp5/100	100	1	0	1	0	0	1	1	0	0	0	91.47	1.67	72	1.0674889e+007	2303750	222444.4	123380	97.84674	1.378054	2.153262	1.378054	56	68	44	87
yeast+sp2st2+sp1+sp4+sp5+sp3/100	100	1	0	1	0	1	1	1	0	0	0	91.5	0.33	74	1.0340667e+007	1828778	205555.6	168651.6	98.21012	1.275282	1.789883	1.275282	49	65	51	86
yeast+sp2st2+sp1+sp3+sp6/100	100	1	0	1	0	1	0	0	1	0	0	90.8	2.03	64	1.1086444e+007	2547860	114444.4	3861.81	98.90359	0.329116	1.096411	0.329116	64	46	67	49
yeast+sp1+sp4+sp6/100	100	1	0	0	0	0	1	0	1	0	0	89.27	2.18	50	1.1752222e+007	1697208	144222.2	68562.67	98.81555	0.497667	1.184451	0.497667	86	52	65	57
yeast+sp2st2+sp1+sp4+sp5+sp3+sp6/100	100	1	0	1	0	1	1	1	1	0	0	91.17	2.67	67	8193778	940188.5	70444.44	12139.11	99.14584	0.112436	0.854159	0.112436	16	23.5	77	22
yeast+sp2st2+sp1+sp5+sp3/100	100	1	0	1	0	1	0	1	0	0	0	89.79	1.39	55	1.0634667e+007	1577330	70444.44	29218.63	99.37136	0.196589	0.628641	0.196589	53	23.5	90	33
yeast+sp2st2+sp1+sp5+sp3+sp6/100	100	1	0	1	0	1	0	1	1	0	0	86.06	1.99	41	8505333	660670.6	107555.6	74999.92	98.7845	0.771919	1.215495	0.771919	18	42	64	73
yeast+sp2st2+sp1+sp3+sp6/100	100	1	0	1	0	1	0	0	1	0	0	83.89	0	34	9130444	1360322	85777.78	52012.34	99.13194	0.50013	0.868059	0.50013	20	32	75	59
yeast+sp2st2+sp4+sp5/100	100	0	0	1	0	0	1	1	0	0	0	87.63	1.21	43	1.0729333e+007	1663195	254666.7	83336	97.61148	0.880719	2.388522	0.880719	59	73	40	75
yeast+sp2st2+sp4+sp5+sp3/100	100	0	0	1	0	1	1	1	0	0	0	92.32	0	82	1.1209556e+007	1309683	193777.8	93527.31	98.3224	0.772314	1.677598	0.772314	69	61	53	74
yeast+sp2st2+sp4+sp5+sp3+sp6/100	100	0	0	1	0	1	1	1	1	0	0	50.75	5.36	15	9604444	1167352	147777.8	67264.72	98.54523	0.577083	1.454766	0.577083	24	53	57	62
yeast+sp2st2+sp4+sp3/100	100	0	0	1	0	1	1	0	0	0	0	96	119.16	99	1.2225333e+007	1183227	177777.8	52646.5	98.5966	0.309124	1.403399	0.309124	94	57	60	48
yeast+sp2st2+sp4+sp6/100	100	0	0	1	0	1	0	0	1	0	0	89.24	2.23	49	1.0270889e+007	1510254	219777.8	140053.3	97.90662	1.410715	2.093379	1.410715	48	66	45	88
yeast+sp2st2+sp5+sp3/100	100	0	0	1	0	1	0	1	0	0	0	91.44	2.41	71	9593111	2117670	203111.1	105763.3	98.05992	0.587477	1.940084	0.587477	23	63	47	63
yeast+sp2st2+sp5+sp3+sp6/100	100	0	0	1	0	1	0	1	1	0	0	92.89	1.04	87	1.1874222e+007	1796594	84222.22	10945.43	99.26737	0.20186	0.732627	0.20186	90	30	84	35
yeast+sp2st2+sp5+sp6/100	100	0	0	1	0	0	0	1	1	0	0	62.04	1.33	17	8282222	1013042	110666.7	51522.02	98.6483	0.714831	1.3517	0.714831	17	43	61	71
yeast+sp2st2+sp5+sp6/100	100	0	0	1	0	0	0	1	1	0	0	90.6	1.21	63	1.3123778e+007	1199778	113111.1	40931.14	99.16802	0.241678	0.831984	0.241678	97	44	80	41
